id,name,localId,rarity,supertype,subtypes,set,tp_updated,tp_unit,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_1st_edition_productId,tp_1st_edition_lowPrice,tp_1st_edition_midPrice,tp_1st_edition_highPrice,tp_1st_edition_marketPrice,tp_1st_edition_directLowPrice,tp_unlimited_productId,tp_unlimited_lowPrice,tp_unlimited_midPrice,tp_unlimited_highPrice,tp_unlimited_marketPrice,tp_unlimited_directLowPrice
swsh11-052,Pikachu,052,Common,,,Lost Origin,2026-07-19T08:03:02.263Z,USD,2026-07-19T08:03:04.558Z,EUR,674062.0,0.22,0.02,0.22,0.65,0.24,0.23,7.19,0.3,10.46,0.79,7.15,5.53,,,,,,,283926.0,0.25,1.46,1000.0,1.34,1.28,283926.0,3.42,7.35,25.02,6.5,6.5,,,,,,,,,,,,
sm10-54,Pikachu,54,Common,,,Unbroken Bonds,2026-07-19T08:03:02.200Z,USD,2026-07-19T08:03:04.558Z,EUR,372345.0,3.25,0.02,2.32,2.03,2.31,3.11,15.17,1.73,12.62,7.0,12.67,8.11,,,,,,,189153.0,0.54,1.78,19.98,1.6,,189153.0,5.0,8.99,35.9,5.79,35.9,,,,,,,,,,,,
me02.5-055,Pikachu,055,Common,,,Ascended Heroes,2026-07-19T08:03:02.357Z,USD,2026-07-19T08:03:04.558Z,EUR,869666.0,0.1,0.02,0.03,0.03,0.06,0.1,,,0.0,,,,,,,,,,675867.0,0.01,0.28,20.0,0.27,0.25,,,,,,,,,,,,,,,,,,
sm11-55,Pikachu,55,Common,,,Unified Minds,2026-07-19T08:03:02.204Z,USD,2026-07-19T08:03:04.558Z,EUR,388097.0,1.75,0.02,1.67,1.6,1.98,1.81,8.91,2.2,8.45,14.0,9.0,6.05,,,,,,,194981.0,0.33,1.54,29.99,1.97,1.5,194981.0,3.5,5.27,4321.0,5.29,,,,,,,,,,,,,
sm11-56,Pikachu,56,Common,,,Unified Minds,2026-07-19T08:03:02.204Z,USD,2026-07-19T08:03:04.558Z,EUR,388097.0,1.75,0.02,1.67,1.6,1.98,1.81,8.91,2.2,8.45,14.0,9.0,6.05,,,,,,,194982.0,2.99,5.99,96.91,5.86,7.25,194982.0,9.37,19.97,45.0,18.43,,,,,,,,,,,,,
sv08-057,Pikachu ex,057,Double rare,,,Surging Sparks,2026-07-19T08:03:02.318Z,USD,2026-07-19T08:03:04.558Z,EUR,794329.0,4.31,1.39,3.8,3.85,3.73,4.27,,,0.0,,,,590025.0,2.0,4.51,4321.0,3.61,4.99,,,,,,,,,,,,,,,,,,,,,,,,
me02.5-057,Pikachu ex,057,Double rare,,,Ascended Heroes,2026-07-19T08:03:02.357Z,USD,2026-07-19T08:03:04.558Z,EUR,869668.0,3.56,0.99,3.6,2.96,3.7,3.52,,,0.0,,,,675869.0,2.0,3.75,4321.0,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
ex16-57,Pikachu,57,Common,,,Power Keepers,2026-07-19T08:03:01.700Z,USD,2026-07-19T08:03:04.558Z,EUR,277363.0,4.2,0.5,5.83,15.0,5.91,4.94,77.47,19.89,47.07,24.95,41.87,31.76,,,,,,,88084.0,4.88,11.98,109.8,11.17,,88084.0,159.99,235.2,429.99,42.24,189.95,,,,,,,,,,,,
A3-057,Pikachu,057,One Diamond,,,Celestial Guardians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
base1-58,Pikachu,58,Common,,,Base Set,2026-07-19T08:03:01.495Z,USD,2026-07-19T08:03:04.558Z,EUR,273753.0,7.1,0.08,6.04,2.43,5.73,5.86,,,36.37,1.0,42.86,22.72,,,,,,,42402.0,0.95,4.0,1000.0,8.34,3.75,,,,,,,,,,,,,,,,,,
