id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_reverse_productId,tp_reverse_lowPrice,tp_reverse_midPrice,tp_reverse_highPrice,tp_reverse_marketPrice,tp_reverse_directLowPrice
swsh3-90,Vibrava,90,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483329,0.07,0.02,0.08,0.06,0.08,0.06,0.36,0.02,0.26,0.05,0.26,0.28,2026-07-06T18:05:00.769Z,USD,219481.0,0.01,0.17,25.06,0.05,,219481.0,0.01,0.25,19.98,0.21,
swsh3-91,Flygon,91,Rare,,2026-07-06T18:05:01.132Z,EUR,483334,0.22,0.02,0.23,0.28,0.27,0.24,0.98,0.12,1.03,0.95,0.96,0.91,2026-07-06T18:05:00.769Z,USD,219482.0,0.04,0.25,19.96,0.16,0.15,219482.0,0.15,0.54,19.98,0.54,
swsh3-92,Solrock,92,Uncommon,,2026-07-06T18:05:01.145Z,EUR,483339,0.06,0.02,0.09,0.08,0.06,0.04,0.27,0.05,0.24,0.1,0.24,0.21,2026-07-06T18:05:00.769Z,USD,219484.0,0.01,0.16,25.08,0.07,0.01,219484.0,0.04,0.25,19.98,0.07,0.08
swsh3-93,Hippopotas,93,Common,,2026-07-06T18:05:01.132Z,EUR,483344,0.05,0.02,0.04,0.03,0.05,0.04,0.28,0.02,0.28,0.14,0.32,0.23,2026-07-06T18:05:00.769Z,USD,219485.0,0.01,0.15,25.03,0.03,0.03,219485.0,0.03,0.24,19.98,0.18,
swsh3-94,Hippowdon,94,Rare,,2026-07-06T18:05:01.132Z,EUR,483349,0.13,0.02,0.13,0.05,0.13,0.17,0.64,0.1,0.66,0.4,0.57,0.57,2026-07-06T18:05:00.769Z,USD,219487.0,0.07,0.2,19.36,0.16,0.1,219487.0,0.16,0.41,1.69,0.41,0.2
swsh3-95,Rhyperior V,95,Holo Rare V,,2026-07-06T18:05:01.145Z,EUR,483354,1.1,0.2,1.4,1.25,1.23,1.11,,,1.81,1.5,2.08,1.82,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-96,Diggersby,96,Rare,,2026-07-06T18:05:01.132Z,EUR,483359,0.12,0.02,0.07,0.1,0.1,0.17,0.65,0.06,0.72,0.3,0.69,0.61,2026-07-06T18:05:00.769Z,USD,219491.0,0.04,0.22,19.98,0.2,0.1,219491.0,0.12,0.33,21.0,0.28,
swsh3-97,Passimian,97,Common,,2026-07-06T18:05:01.132Z,EUR,483364,0.04,0.02,0.04,0.03,0.04,0.03,0.21,0.03,0.23,0.24,0.14,0.2,2026-07-06T18:05:00.769Z,USD,219493.0,0.01,0.15,25.05,0.05,0.05,219493.0,0.01,0.25,19.98,0.05,0.05
swsh3-98,Galarian Sirfetch'd,98,Rare,,2026-07-06T18:05:01.132Z,EUR,483369,0.4,0.02,0.57,0.55,0.48,0.44,0.96,0.25,0.92,1.0,0.9,0.87,2026-07-06T18:05:00.769Z,USD,219495.0,0.11,0.28,19.98,0.27,,219495.0,0.25,0.61,19.98,0.63,0.74
swsh3-99,Galarian Slowbro V,99,Holo Rare V,,2026-07-06T18:05:01.132Z,EUR,483374,1.01,0.25,1.06,0.93,1.13,1.0,,,1.05,1.03,1.14,1.16,2026-07-06T18:05:00.769Z,USD,,,,,,,,,,,,
swsh3-100,Grimer,100,Common,,2026-07-06T18:05:01.132Z,EUR,483379,0.05,0.02,0.04,0.03,0.03,0.04,0.19,0.02,0.19,0.15,0.2,0.19,2026-07-06T18:05:00.769Z,USD,219401.0,0.01,0.15,25.05,0.07,0.05,219401.0,0.1,0.29,2.99,0.29,0.16
