id,name,localId,rarity,supertype,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_reverse_holofoil_directLowPrice,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_normal_directLowPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice,tp_holofoil_directLowPrice
me04-049,Zubat,049,Common,,2026-07-07T18:05:09.041Z,EUR,886441,0.03,0.02,0.02,0.02,0.03,0.03,0.09,0.02,0.07,0.08,0.08,0.09,2026-07-07T18:05:06.951Z,USD,693565.0,0.01,0.24,1.99,0.24,0.08,693565.0,0.01,0.15,2.99,0.12,0.01,,,,,,
me04-050,Golbat,050,Common,,2026-07-07T18:05:09.149Z,EUR,886442,0.03,0.02,0.02,0.02,0.02,0.03,0.08,0.02,0.09,0.08,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693493.0,0.01,0.25,1.75,0.24,0.08,693493.0,0.01,0.15,3.5,0.1,0.01,,,,,,
me04-051,Crobat,051,Rare,,2026-07-07T18:05:09.149Z,EUR,888531,1.62,0.05,1.41,2.0,1.34,1.53,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,693470.0,0.01,0.25,20.24,0.29,0.1,,,,,,,693470.0,0.01,0.17,4.99,0.15,0.05
me04-052,Qwilfish,052,Common,,2026-07-07T18:05:09.149Z,EUR,886444,0.04,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.09,0.12,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693538.0,0.01,0.22,2.75,0.2,0.06,693538.0,0.01,0.15,2.99,0.09,0.01,,,,,,
me04-053,Stunky,053,Common,,2026-07-07T18:05:09.149Z,EUR,886445,0.03,0.02,0.03,0.02,0.03,0.02,0.09,0.02,0.06,0.05,0.08,0.08,2026-07-07T18:05:06.951Z,USD,693549.0,0.01,0.22,2.99,0.17,0.05,693549.0,0.01,0.15,2.99,0.11,0.01,,,,,,
me04-054,Skuntank,054,Uncommon,,2026-07-07T18:05:09.041Z,EUR,886446,0.03,0.02,0.03,0.03,0.02,0.03,0.09,0.02,0.08,0.05,0.08,0.09,2026-07-07T18:05:06.951Z,USD,693544.0,0.01,0.25,2.99,0.27,0.09,693544.0,0.01,0.13,2.99,0.09,0.01,,,,,,
me04-055,Krookodile ex,055,Double rare,,2026-07-07T18:05:09.041Z,EUR,886447,0.37,0.05,0.37,0.37,0.35,0.37,,,0.0,,,,2026-07-07T18:05:06.951Z,USD,,,,,,,,,,,,,693504.0,0.11,0.59,4321.0,0.48,0.99
me04-056,Trubbish,056,Common,,2026-07-07T18:05:09.041Z,EUR,886448,0.03,0.02,0.03,0.02,0.03,0.03,0.09,0.02,0.09,0.1,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693557.0,0.01,0.24,20.18,0.21,0.07,693557.0,0.01,0.15,1.6,0.16,0.01,,,,,,
me04-057,Garbodor,057,Uncommon,,2026-07-07T18:05:09.149Z,EUR,886449,0.03,0.02,0.02,0.02,0.03,0.02,0.08,0.02,0.1,0.09,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693492.0,0.01,0.25,2.75,0.24,0.08,693492.0,0.01,0.15,7.0,0.09,0.01,,,,,,
me04-058,Skrelp,058,Common,,2026-07-07T18:05:09.149Z,EUR,886450,0.04,0.02,0.05,0.03,0.04,0.03,0.11,0.02,0.07,0.06,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693543.0,0.03,0.25,19.0,0.22,0.08,693543.0,0.01,0.16,15.0,0.11,0.01,,,,,,
me04-059,Beldum,059,Common,,2026-07-07T18:05:09.149Z,EUR,886451,0.03,0.02,0.04,0.16,0.04,0.03,0.08,0.02,0.09,0.07,0.09,0.08,2026-07-07T18:05:06.951Z,USD,693455.0,0.01,0.2,2.99,0.17,0.05,693455.0,0.01,0.15,1.6,0.09,0.01,,,,,,
me04-060,Metang,060,Common,,2026-07-07T18:05:09.041Z,EUR,886452,0.03,0.02,0.02,0.02,0.03,0.03,0.08,0.02,0.07,0.07,0.07,0.08,2026-07-07T18:05:06.951Z,USD,693523.0,0.01,0.22,2.99,0.22,0.07,693523.0,0.01,0.15,15.0,0.11,0.01,,,,,,
me04-061,Metagross,061,Uncommon,,2026-07-07T18:05:09.149Z,EUR,886453,0.05,0.02,0.06,0.16,0.06,0.05,0.12,0.02,0.12,0.12,0.11,0.12,2026-07-07T18:05:06.951Z,USD,693522.0,0.01,0.3,3.87,0.31,0.11,693522.0,0.01,0.18,2.99,0.13,0.1,,,,,,
me04-062,Ferroseed,062,Common,,2026-07-07T18:05:09.149Z,EUR,886454,0.03,0.02,0.02,0.02,0.02,0.03,0.07,0.02,0.06,0.05,0.06,0.06,2026-07-07T18:05:06.951Z,USD,693485.0,0.01,0.21,13.0,0.21,0.01,693485.0,0.01,0.14,3.5,0.08,0.01,,,,,,
