id,name,localId,rarity,cm_updated,cm_unit,cm_idProduct,cm_avg,cm_low,cm_trend,cm_avg1,cm_avg7,cm_avg30,cm_avg_holo,cm_low_holo,cm_trend_holo,cm_avg1_holo,cm_avg7_holo,cm_avg30_holo,tp_updated,tp_unit,tp_normal_productId,tp_normal_lowPrice,tp_normal_midPrice,tp_normal_highPrice,tp_normal_marketPrice,tp_reverse_holofoil_productId,tp_reverse_holofoil_lowPrice,tp_reverse_holofoil_midPrice,tp_reverse_holofoil_highPrice,tp_reverse_holofoil_marketPrice,tp_holofoil_productId,tp_holofoil_lowPrice,tp_holofoil_midPrice,tp_holofoil_highPrice,tp_holofoil_marketPrice
me05-061,Shieldon,61,Common,2026-07-20T08:03:04.265Z,EUR,895846,0.07,0.02,0.08,0.05,0.06,0.08,,0.02,0.15,0.12,0.17,0.17,2026-07-20T08:03:02.229Z,USD,704818.0,0.01,0.15,35.0,0.09,704818.0,0.02,0.2,1.69,0.14,,,,,
me05-062,Bastiodon,62,Rare,2026-07-18T08:02:59.361Z,EUR,895847,0.8,0.03,0.83,0.86,0.81,0.81,,0.05,0.58,1.45,1.45,1.45,2026-07-18T08:02:56.983Z,USD,,,,,,704819.0,0.1,0.82,5.0,0.4,704819.0,0.01,0.25,2.48,0.18
me05-062,Bastiodon,62,Rare,2026-07-19T08:03:04.658Z,EUR,895847,0.8,0.02,0.65,0.86,0.81,0.81,,0.02,0.44,1.45,1.45,1.45,2026-07-19T08:03:02.366Z,USD,,,,,,704819.0,0.1,0.48,5.0,0.41,704819.0,0.01,0.23,2.48,0.2
me05-062,Bastiodon,62,Rare,2026-07-20T08:03:04.811Z,EUR,895847,0.8,0.02,0.51,0.13,0.29,0.33,,0.02,0.26,0.21,0.44,0.44,2026-07-20T08:03:02.229Z,USD,,,,,,704819.0,0.08,0.41,5.0,0.37,704819.0,0.01,0.22,2.48,0.18
me05-063,Bronzor,63,Common,2026-07-18T08:02:58.823Z,EUR,895848,,0.02,0.04,0.02,0.02,0.02,0.05,0.05,0.16,0.29,0.17,0.17,2026-07-18T08:02:56.983Z,USD,704820.0,0.01,0.15,100.0,0.06,704820.0,0.03,0.2,4.0,0.15,,,,,
me05-063,Bronzor,63,Common,2026-07-19T08:03:04.658Z,EUR,895848,,0.02,0.04,0.02,0.02,0.02,0.05,0.02,0.14,0.29,0.17,0.17,2026-07-19T08:03:02.366Z,USD,704820.0,0.01,0.15,100.0,0.05,704820.0,0.03,0.18,4.0,0.08,,,,,
me05-063,Bronzor,63,Common,2026-07-20T08:03:04.811Z,EUR,895848,,0.02,0.04,0.03,0.04,0.04,0.05,0.02,0.13,0.08,0.1,0.1,2026-07-20T08:03:02.229Z,USD,704820.0,0.01,0.15,1.65,0.06,704820.0,0.02,0.18,4.0,0.1,,,,,
me05-064,Bronzong,64,Uncommon,2026-07-18T08:02:59.387Z,EUR,895849,0.02,0.02,0.03,0.04,0.04,0.04,,0.05,0.2,,,,2026-07-18T08:02:56.983Z,USD,704821.0,0.02,0.15,3.83,0.08,704821.0,0.03,0.2,4.0,0.1,,,,,
me05-064,Bronzong,64,Uncommon,2026-07-19T08:03:04.658Z,EUR,895849,0.02,0.02,0.04,0.04,0.04,0.04,,0.02,0.18,,,,2026-07-19T08:03:02.366Z,USD,704821.0,0.01,0.15,100.0,0.05,704821.0,0.03,0.19,4.0,0.08,,,,,
me05-064,Bronzong,64,Uncommon,2026-07-20T08:03:04.265Z,EUR,895849,0.02,0.02,0.04,0.03,0.04,0.04,,0.02,0.13,0.09,0.13,0.13,2026-07-20T08:03:02.229Z,USD,704821.0,0.01,0.15,1.65,0.05,704821.0,0.02,0.18,4.0,0.1,,,,,
me05-065,Mega Excadrill ex,65,Double rare,2026-07-18T08:02:59.387Z,EUR,895785,2.9,1.4,2.66,2.68,2.67,2.67,,,0.0,,,,2026-07-18T08:02:56.983Z,USD,,,,,,,,,,,704822.0,0.49,1.23,19.99,0.83
me05-065,Mega Excadrill ex,65,Double rare,2026-07-19T08:03:04.658Z,EUR,895785,2.9,0.5,2.3,2.68,2.67,2.67,,,0.0,,,,2026-07-19T08:03:02.366Z,USD,,,,,,,,,,,704822.0,0.26,1.0,19.99,0.91
me05-065,Mega Excadrill ex,65,Double rare,2026-07-20T08:03:04.265Z,EUR,895785,2.9,0.5,1.92,1.08,1.52,1.6,,,0.0,,,,2026-07-20T08:03:02.229Z,USD,,,,,,,,,,,704822.0,0.49,1.25,19.99,1.06
me05-066,Pikipek,66,Common,2026-07-18T08:02:59.387Z,EUR,895850,0.09,0.02,0.14,0.05,0.14,0.14,,0.02,0.16,,,,2026-07-18T08:02:56.983Z,USD,704823.0,0.01,0.19,1.69,0.1,704823.0,0.03,0.22,1.74,0.18,,,,,
me05-066,Pikipek,66,Common,2026-07-19T08:03:04.658Z,EUR,895850,0.09,0.02,0.12,0.05,0.14,0.14,,0.02,0.19,,,,2026-07-19T08:03:02.366Z,USD,704823.0,0.01,0.15,100.0,0.11,704823.0,0.01,0.2,1.66,0.16,,,,,
me05-066,Pikipek,66,Common,2026-07-20T08:03:04.265Z,EUR,895850,0.09,0.02,0.1,0.05,0.07,0.07,,0.02,0.16,0.16,0.21,0.21,2026-07-20T08:03:02.229Z,USD,704823.0,0.01,0.15,1.65,0.11,704823.0,0.01,0.2,2.14,0.14,,,,,
me05-067,Trumbeak,67,Common,2026-07-18T08:02:59.387Z,EUR,895851,0.2,0.02,0.12,0.02,0.2,0.2,,0.19,0.29,0.04,0.04,0.04,2026-07-18T08:02:56.983Z,USD,704824.0,0.03,0.18,1.73,0.13,704824.0,0.05,0.22,45.0,0.18,,,,,
me05-067,Trumbeak,67,Common,2026-07-19T08:03:04.658Z,EUR,895851,0.2,0.02,0.1,0.02,0.2,0.2,,0.02,0.29,0.04,0.04,0.04,2026-07-19T08:03:02.366Z,USD,704824.0,0.05,0.17,100.0,0.13,704824.0,0.05,0.2,45.0,0.19,,,,,
me05-067,Trumbeak,67,Common,2026-07-20T08:03:04.265Z,EUR,895851,0.2,0.02,0.08,0.05,0.06,0.07,,0.02,0.26,0.16,0.22,0.22,2026-07-20T08:03:02.229Z,USD,704824.0,0.01,0.17,1.69,0.12,704824.0,0.04,0.2,45.0,0.16,,,,,
me05-068,Toucannon,68,Uncommon,2026-07-18T08:02:59.387Z,EUR,895852,0.14,0.02,0.27,0.2,0.3,0.3,,0.03,0.31,0.5,0.5,0.5,2026-07-18T08:02:56.983Z,USD,704825.0,0.03,0.2,1.73,0.13,704825.0,0.03,0.25,100.0,0.2,,,,,
me05-068,Toucannon,68,Uncommon,2026-07-19T08:03:04.658Z,EUR,895852,0.14,0.02,0.21,0.2,0.3,0.3,,0.02,0.29,0.5,0.5,0.5,2026-07-19T08:03:02.366Z,USD,704825.0,0.02,0.17,100.0,0.13,704825.0,0.03,0.21,100.0,0.16,,,,,
